index,en,zh-tw
375,rare earth stabilizer,稀土穩定劑
376,rear hinge means,後鉸鏈裝置
377,rear hinge members,後鉸鏈構件
378,rear link means,後連桿裝置
379,rear link members,後連桿成員
380,rigid cross members,剛性橫梁
381,stabilization supports,穩定支撐
382,stabilizer component,穩定劑成分
383,stabilizer element,穩定元件
384,stabilizer elements,穩定器元素
385,stabilizer part,穩定器部分
386,stabilizing brackets,穩定支架
387,stabilizing compounds,穩定化合物
388,stable fixation kit,穩定固定套件
389,tissue stabilizer,組織穩定劑
390,active suspension,主動懸掛
391,assemblies,組件
392,bracket members,支架成員
393,cross brace members,橫撐桿件
394,cross line,十字線
395,member of parliament,議會成員
396,paired stabilizer member,成對的穩定器構件
397,paired stabilizer members,成對的穩定器成員
398,paired stabilizers members,成對的穩定器成員
399,rail sections,鐵路部分
400,roof module for motor vehicles,機動車輛車頂模塊
401,shaped support members,異形支撐件
402,stabilizer arms,穩定臂
403,stabilizer bars,穩定桿
404,stabilizer connections,穩定器連接
405,stabilizer for fridge,冰箱穩定劑
406,stabilizer for tv,電視穩定器
407,stabilizer links,穩定器連桿
408,stabilizer member,穩定器構件
409,stabilizers,穩定劑
410,stabilizers member,穩定器成員
411,stabilizers members,穩定器成員
412,stabilizing members,穩定成員
413,stable assistant,穩定的助手
414,support elements,支持元素
415,support supports,支持支持
416,tubular elements,管狀元件
417,tubular members,管狀構件
418,vector line,矢量線
419,vehicle instrument cluster,車輛儀表組
420,centralizers,扶正器
421,drill housing,鑽殼
422,inner housing,內殼
423,respective members,各自的成員
424,respective stabilizer,各自的穩定器
425,respective stabilizer members,各自的穩定器構件
426,side track surfaces,側軌表面
427,side tracks,側軌
428,stabilizer,穩定劑
429,track guide surfaces,軌道導向面
430,track surfaces,軌道表面
431,amylose component,直鏈澱粉成分
432,amylum,澱粉
433,carbohydrate components,碳水化合物成分
434,carbohydrate food sources,碳水化合物食物來源
435,component of blood,血液成分
436,glucose units,葡萄糖單位
437,glycosidic bonds,糖苷鍵
438,good component,好組件
439,joy component,歡樂組件
440,low carbs diet,低碳水化合物飲食
441,nonstarch polysaccharides,非澱粉多醣
442,polymeric carbohydrate,聚合碳水化合物
443,polysaccharide produced green plants,多醣產生的綠色植物
444,pure starch,純澱粉
445,starch grains,澱粉粒
446,tarch model,焦油模型
447,torch light,手電筒
448,wheat starch,小麥澱粉
449,hemicellulose,半纖維素
450,material starch,原料澱粉
451,protein portion,蛋白質部分
452,starch components,澱粉成分
453,starch material,澱粉材料
454,amylopectin,支鏈澱粉
455,amylose,直鏈澱粉
456,amylose and amylopectin,直鏈澱粉和支鏈澱粉
457,carbohydrate,醣類
458,fibres,纖維
459,hemorrhage,出血
460,polysaccharide,多醣
461,pregelatinized starch,預糊化澱粉
462,starch composition,澱粉組成
463,starch core,澱粉核
464,starch element,澱粉元素
465,starch granules,澱粉粒
466,starch ingredient,澱粉成分
467,starch particles,澱粉顆粒
468,starches,澱粉
469,struture,結構
470,thermoplastic component,熱塑性組分
471,thermoplastic starch,熱塑性澱粉
472,heat component,熱組件
473,starch heater,澱粉加熱器
474,starches component,澱粉成分
475,starches composition,澱粉組成
476,starches material,澱粉材料
477,fixed body,固定體
478,fixed rod,固定桿
479,heating body,加熱體
480,heating rod,加熱棒
481,adsorbent,吸附劑
482,fishing rod,釣竿
483,fixing element,固定元件
484,motionless rod,不動桿
485,movable rod,活動桿
486,rod shape,棒狀
487,rod structure,桿狀結構
488,stagnant rod,停滯棒
489,static rod,靜桿
490,stationary bar,固定桿
491,stationary bike,固定自行車
492,stationary shaft,靜止軸
493,tension rod,拉桿
494,arranged longitudinally,縱向排列
495,cylindrical guide bar,圓柱導桿
496,moving body,移動的身體
497,moving matter,移動物質
498,moving object tracking,運動物體跟踪
499,non movable rod,不可動桿
0,rod cutting,棒材切割
1,stationary car,固定車
2,stationary guide tube,固定導管
3,stationary population,固定人口
4,stationary rods,固定桿
5,stationary tube,固定管
6,stationary vehicle,靜止車輛
7,stylus carrier,觸控筆載體
8,track,追踪
9,antenna array matrices,天線陣列矩陣
10,beam former,光束形成器
11,beam steering,光束轉向
12,beamforming steering matrices,波束成形轉向矩陣
13,convergent divergent handles,收斂發散手柄
14,divergent beams,發散光束
15,divergent portion,發散部分
16,energy direct matrices,能量直接矩陣
17,matrices calculator,矩陣計算器
18,matrices multiplication,矩陣乘法
19,matrix of steering,轉向矩陣
20,multiple input multiple output,多輸入多輸出
21,plurality of steering matrices,多個轉向矩陣
22,preceding matrix,前矩陣
23,spans,跨度
24,spatial matrix,空間矩陣
25,spreading matrix,傳播矩陣
26,spreading sequence,擴展序列
27,steering a vehicle,駕駛車輛
28,steering spans,轉向跨度
29,steering vector,轉向矢量
30,steering vector matrix,轉向向量矩陣
31,steering wheel,方向盤
32,transmission matrices,傳輸矩陣
33,transmission spans,傳輸跨度
34,transmit beam,發射光束
35,fixture pins,夾具銷
36,flat pin,扁銷
37,frame hinges,框架鉸鏈
38,locking systems,鎖定係統
39,peg extraction arrangement,掛鉤提取安排
40,pin number,針號
41,pin score,分數
42,pneumatic actuators,氣動執行器
43,seating pins,座銷
44,self aligning,自對準
45,sliding groove,滑槽
46,step pin,階梯銷
47,stepped components,階梯組件
48,stepped down pin,降級銷
49,stepped pin,階梯銷
50,stepped planter boxes,階梯式種植箱
51,stepped quilt,階梯被子
52,stepped wall planter,階梯式牆花盆
53,switching groove,切換槽
54,switching grooves,切換槽
55,torque setting mechanism,扭矩設定機構
56,turned pin,轉銷
57,collection lid,收集蓋
58,cork cover,軟木蓋
59,filling unit,灌裝單元
60,lid allocation module,蓋子分配模塊
61,plug cover,插頭蓋
62,stop cover,停止蓋
63,storage cap,儲物帽
64,storage cover,儲物蓋
65,storage disk,存儲盤
66,storage hard disk,存儲硬盤
67,storage lids,儲物蓋
68,storage servers,存儲服務器
69,storage top cover,存儲頂蓋
70,storage top covering,存儲頂蓋
71,storage vessel lid,儲存容器蓋
72,top lid,頂蓋
73,top storage,頂部存儲
74,containment cover,收容蓋
75,containment lid,密封蓋
76,aluminum plate engraving machine,鋁板雕刻機
77,carving operation,雕刻操作
78,cloud storage,雲儲存
79,computer storage,電腦存儲
80,engraving system,雕刻系統
81,horizontal cold engraving machine,臥式冷雕機
82,kit,成套工具
83,lid crease,蓋子摺痕
84,lid for a storage container,儲存容器的蓋子
85,ornamenting device,裝飾裝置
86,rotary spindle,旋轉主軸
87,storage capacity of pendrive,pendrive的存儲容量
88,storage device hierarchy,存儲設備層次結構
89,storage lid,儲物蓋
90,storage system,存儲系統
91,storage temperature,貯存溫度
92,storage top,儲物頂
93,backrest,靠背
94,door body,門體
95,seal structure,密封結構
96,seat,座位
97,storages cover,儲物蓋
98,storages lid,儲物蓋
99,belts,腰帶
100,conduit transport,管道運輸
101,container conveyance,集裝箱運輸
102,container transport,集裝箱運輸
103,conveying strand,輸送線
104,conveyors are used to convey heavy duty,輸送機用於輸送重型
105,conveyors are used to convey larger sized items,輸送機用於輸送較大尺寸的物品
106,conveyors system,輸送系統
107,device for regulating the tension,張力調節裝置
108,expandable pallet,可擴展托盤
109,flexible strand conveyor,柔性鍊式輸送機
110,hair strand,髮束
111,strand conveyor,絞線輸送機
112,strand of beads,一串珠子
113,strand of dna,dna鏈
114,strand of hair,一縷頭髮
115,strand of rna,rna鏈
116,strands for conveyor,用於輸送機的股線
117,translucent sheet,半透明片
118,transporting unit,運輸單元
119,twin strand conveyor,雙股輸送機
120,virus strand,病毒鏈
121,substantially co axial,基本同軸
122,angle incidence,角入射
123,axial length of eye,眼軸長度
124,axial spine,軸向脊柱
125,axial uterus,軸向子宮
126,component of internal paneling,內部鑲板的組成部分
127,diving axle with independent wheel,帶獨立輪的潛水橋
128,floating damping ring,浮動阻尼環
129,motor vehicle door,機動車門
130,strong,強的
131,substantial pain relief,顯著緩解疼痛
132,substantially annular,基本上是環形的
133,substantially axial,基本軸向
134,substantially axial alignment,基本上軸向對齊
135,substantially axial direction,大致軸向
136,substantially axial direction flow,基本上軸向流動
137,substantially axial flow,基本軸向流動
138,substantially axial slit,基本上軸向的狹縫
139,substantially axially,基本上軸向
140,substantially blood flow,大量血流
141,substantially constant axial,軸向基本恆定
142,substantially incidence,顯著發生率
143,predominantly radial,主要是徑向的
144,predominantly tangential,主要是切線的
145,spaced,間隔的
146,spaced substantially,間隔很大
147,tangential,切線
148,common,常見的
149,considerable axial,相當軸向
150,damping ring,阻尼環
151,flange connection,法蘭連接
152,generally axial,一般軸向
153,generally circumferential,一般是圓周的
154,generally flow,一般流動
155,groove portion,凹槽部分
156,long axial dimension,長軸尺寸
157,radial supporting,徑向支撐
158,spring system,彈簧系統
159,substantial development,實質性發展
160,substantial financing,大量融資
161,substantially circumferential,基本上是圓周的
162,substantially flow,大量流動
163,substantially free,基本免費
164,substantially furnished,家具齊全
165,substantially longitudinal,基本上是縱向的
166,substantially radial,基本呈放射狀
167,substantially transverse,基本橫向
168,substantially vertical,基本垂直
169,symmetrical spacing,對稱間距
170,vibration dampener,減振器
171,aromatic carboxylic,芳香族羧酸
172,aromatic fatty,芳香脂肪
173,box oic,盒裝
174,chemical moiety,化學部分
175,chlorinated carboxylic,氯化羧酸
176,chlorinated fatty,氯化脂肪
177,kan oic,卡諾伊克
178,lipid,脂質
179,organic molecule,有機分子
180,someone substituted,有人代替
181,substitute teacher,代課老師
182,substituted alkanoic,取代鏈烷酸
183,substituted alkanoic acid,取代鏈烷酸
184,substituted butanoic,取代丁酸
185,substituted carboxylic acid,取代羧酸
186,substituted chair,替代椅子
187,substituted hexanoic acid,取代己酸
188,substituted pentanoic,取代戊酸
189,substituted pentanoic acid,取代戊酸
190,substituted phthalic acid,取代鄰苯二甲酸
191,substituted propanoic,取代丙酸
192,aromatic acid,芳香酸
193,containing carboxylic,含羧基
194,substituted acid,取代酸
195,substituted aromatic acid,取代芳香酸
196,substituted aromatic carboxylic,取代芳族羧酸
197,substituted carboxylic acids,取代的羧酸
198,substituted monocarboxylic,取代的一元羧酸
199,tic,抽動
200,carboxyl functional groups,羧基官能團
201,ester of carboxylic,羧酸酯
202,ester of fatty,脂肪酯
203,ester substituted carboxylic,酯取代羧基
204,esters of carboxylic,羧酸酯
205,esters of polycarboxylic,多元羧酸酯
206,esters substituted carboxylic,酯取代羧基
207,esters substituted polycarboxylic,酯取代多元羧酸
208,maleic,馬來酸
209,phosphonic,膦酸
210,polycarboxylic,聚羧酸
211,substituted ethanedioic acid,取代的乙二酸
212,substituted maleic,取代馬來酸
213,substituted pentanedioic acid,取代戊二酸
214,substituted polycarboxylic,取代多元羧酸
215,substituted propanedioic acid,取代丙二酸
216,substituted sulfonic,取代磺酸
217,sulfonic,磺酸的
218,elemental sulfide,元素硫化物
219,sulfur sulfide,硫化硫
220,apexes,頂點
221,apices,頂點
222,centres,中心
223,apex,頂尖
224,conveying channel,輸送通道
225,crest crests,嵴嵴
226,crest peaks,峰頂
227,crests,波峰
228,crests peaks,波峰
229,cutting box,切割盒
230,highest point,最高點
231,highest point of human,人類的最高點
232,highest point of mammal body head,哺乳動物身體頭部的最高點
233,leg apex,腿尖
234,lowest point,最低點
235,peak current,峰值電流
236,peaks,山峰
237,peaks crests,峰頂
238,racing apex,賽車頂點
239,respective crests,各自的波峰
240,respective peaks,各自的峰
241,sealing lid,密封蓋
242,summits,峰會
243,support system for vehicle bodies,車身支撐系統
244,textile yarn spooling assembly,紡織紗線繞線組件
245,tip,小費
246,tip pencil,筆尖
247,topmost level,最高層
248,apex lines,頂點線
249,conference,會議
250,crest,波峰
251,crest factor,峰值因數
252,lowest base,最低基數
253,mountains,山
254,plan view,平面圖
255,summit learning,頂峰學習
256,top points,要點
257,trough ball,槽球
258,trough lines,槽線
259,troughs,低谷
260,angular velocity,角速度
261,blood filter member,血液過濾器部件
262,circumscribe sun gear member,外接太陽輪構件
263,connect with sun gear member,與太陽輪構件連接
264,include sun gear member,包括太陽輪構件
265,input sun member,輸入太陽成員
266,planet gear member,行星齒輪構件
267,planet gear members,行星齒輪部件
268,planet member,行星成員
269,planet members,行星成員
270,planetary train,行星火車
271,planetary unit,行星單元
272,rotatable sun gear,可旋轉太陽輪
273,shaft sealing structure,軸封結構
274,solar water pumps,太陽能水泵
275,submersible pumps,潛水泵
276,sun eclipse,日食
277,sun gear element,太陽輪元件
278,sun gear member,太陽輪構件
279,sun gear members,太陽齒輪成員
280,sun member,太陽會員
281,sun member rotating element,太陽成員旋轉元件
282,sun members,太陽成員
283,sun planet member,太陽行星成員
284,sun planet members,太陽星球成員
285,sun plastic,太陽塑料
286,sun plaza,太陽廣場
287,sun shaft,太陽軸
288,sunscreen composition,防曬成分
289,ventilation path,通風路徑
290,vortex fluid mechanism,渦流機制
291,central ring member,中心環構件
292,coupled carrier member,耦合載體構件
293,coupled carrier shaft,聯軸器
294,coupled sun member,耦合太陽成員
295,coupled sun shaft,耦合太陽軸
296,cylindrical member,圓柱形構件
297,cylindrical ring member,圓柱環構件
298,gearset,齒輪組
299,hub member,樞紐成員
300,input gear component,輸入齒輪組件
301,mechanical interlock,機械聯鎖
302,network hub,網絡集線器
303,ring member,環成員
304,ring shaft,環軸
305,rings member part,環成員部分
306,rotating element,旋轉元件
307,sun,太陽
308,sun direct recharge,陽光直充
309,sun element,太陽元素
310,sun faded clothes,太陽褪色的衣服
311,sun garden,陽光花園
312,sun gear,太陽齒輪
313,sun shine,他們閃耀
314,sun wheel,太陽輪
315,torque delivery shaft,扭矩傳遞軸
316,uncoupled carrier member,分離的載體構件
317,uncoupled carrier shaft,分離的承載軸
318,uncoupled sun member,解耦的太陽成員
319,uncoupled sun shaft,分離式太陽軸
320,abrasion,磨損
321,abrasion article,磨損物品
322,abrasion injury,擦傷
323,abrasion resistant,耐磨
324,abrasion wound,擦傷
325,better abrasion,更好的耐磨性
326,education on abroad,國外教育
327,enhanced abrasion,增強磨損
328,fibre,纖維
329,flex abrasion,彎曲磨損
330,good abrasion,良好的耐磨性
331,improved abrasion,改善磨損
332,improved wear,改善磨損
333,increased abrasion,磨損增加
334,increased wear,磨損增加
335,metal coating,金屬塗層
336,metal corrosion,金屬腐蝕
337,rubbing fibre,摩擦纖維
338,solid material,固體材料
339,super abrasives,超級磨料
340,superelastic alloys,超彈性合金
341,superimposed image,疊加圖像
342,superior abrasion resistance,優越的耐磨性
343,superior orbital,上眶
344,surface abrasion,表面磨損
345,wear,穿
346,ad support,廣告支持
347,additional grooves,額外的凹槽
348,blood vessels groove anatomy,血管溝解剖
349,corresponding guide grooves,對應的導向槽
350,corresponding support grooves,對應的支撐槽
351,corresponding support portions,相應的支撐部分
352,diecasting device,壓鑄裝置
353,groove pairs,凹槽對
354,groove respectively,凹槽分別
355,grooves pairs,凹槽對
356,grooves respectively,凹槽分別
357,heart grooves anatomy,心臟溝解剖
358,heart stent support group,心臟支架支持小組
359,magnetic powder,磁粉
360,pin holes,針孔
361,porous tire tread mold,多孔輪胎胎面模具
362,ring support groove,環支撐槽
363,rotary fin,旋轉翅片
364,steel clip,鋼夾
365,support cuts,支持削減
366,support cutsection,支撐切割
367,support framework,支持框架
368,support groove,支撐槽
369,support guide grooves,支撐導向槽
370,support hole,支撐孔
371,support holes,支撐孔
372,support mounting,支撐安裝
373,support parts,支撐件
374,support portions,支撐部分
375,supporting groove,支撐槽
376,supporting grooves,支撐槽
377,supports mounting,支持安裝
378,ticket support,票務支持
379,undercut,底切
380,altering a surface,改變表面
381,altering agent,改變劑
382,aqueous component,水性成分
383,bed wetting,尿床
384,fluorine,氟
385,functionalization,功能化
386,hydrophobic films,疏水膜
387,physical change,物理變化
388,physically active,體力活動
389,solid agent,固體劑
390,solid material used,使用的固體材料
391,surface active agent,表面活性劑
392,surface altering,表面改變
393,surface cracks,表面裂紋
394,surface material,表面材料
395,surface material used,使用的表面材料
396,surface mining,露天採礦
397,surface modification,表面改性
398,surface modifiers,表面改性劑
399,surface modifying agents,表面改性劑
400,surface tension reducer,表面張力降低劑
401,surfactant,表面活性劑
402,terrain surface,地形表面
403,wetting agents,潤濕劑
404,additionally altering agent,附加改變劑
405,additionally altering agents,額外的改變劑
406,additionally modifying agent,附加改性劑
407,additionally surface altering agent,額外的表面改性劑
408,additionally surface altering agents,額外的表面改性劑
409,additionally surface modifying agent,額外的表面改性劑
410,additionally surface modifying agents,額外的表面改性劑
411,altering agents,改變劑
412,dispersing agent,分散劑
413,emulsifier,乳化劑
414,modifying agent,改性劑
415,modifying agents,改性劑
416,surface agent,表面劑
417,surface altering agents,表面改性劑
418,surface changing agents,表面改變劑
419,surface modifying agent,表面改性劑
420,surfactants,表面活性劑
421,tension headache,緊張性頭痛
422,wetting agent,潤濕劑
423,athletic gloves,運動手套
424,relate to gloves,與手套有關
425,double gloving,雙層手套
426,examination gloves,檢查手套
427,examination schedule,考試時間表
428,garment,服裝
429,include gloves,包括手套
430,industrial grade gloves,工業級手套
431,latex,乳膠
432,latex gloves,乳膠手套
433,medical gloves,醫用手套
434,plastic surgeons,整形外科醫生
435,powder free gloves,無粉手套
436,prescription drug,處方類藥物
437,propane nitrile,丙腈
438,rubber band,橡皮筋
439,sterile gloves,無菌手套
440,surgeons gloves,外科醫生手套
441,winter,冬天
442,disposable accessory,一次性配件
443,disposable gloves,一次性手套
444,nitrile gloves,丁腈手套
445,plastic sergeons,塑料軍士
446,rubber gloves,橡膠手套
447,surgical blade,手術刀
448,surgical instrument,手術器械
449,surgical needle,手術針
450,wearable accessory,可穿戴配件
451,don gloves,戴手套
452,controlled delivery,控制交付
453,controlled release,控釋
454,delivery,送貨
455,drug delivering,藥物輸送
456,drug delivery,藥物輸送
457,drug release,藥物釋放
458,encapsulation,封裝
459,energy delivery,能量輸送
460,local infusion,局部輸液
461,local injection,局部注射
462,localized release,本地化發布
463,prolonged release,延長釋放
464,slow release,緩慢釋放
465,sustained drug delivery,持續給藥
466,sustained pressure,持續的壓力
467,sustained pulse rate,持續脈搏率
468,sustained release,持續釋放
469,systemic infusion,全身輸注
470,systemic injection,全身注射
471,targeted delivery,定向投放
472,active compound,活性化合物
473,baby delivery,嬰兒分娩
474,constant drug delivery,持續給藥
475,continuous delivery,持續交付
476,courier,信使
477,delivery counter,送貨櫃檯
478,extended release,緩釋
479,implantation,植入
480,implantation of ocular,眼部植入
481,insertion of ocular,眼部插入
482,intraocular,眼
483,movie release,電影上映
484,novel drug delivery,新型藥物輸送
485,ocular,目視
486,programmed rate,程序化速率
487,prolonged delivery,延長分娩
488,prolonged drug delivery,長時間給藥
489,prolonged waiting,漫長的等待
490,skin care formulations,護膚配方
491,sustained medication,持續用藥
492,sustained release drug delivery,緩釋給藥
493,device termination,設備端接
494,double wire multi switch,雙線多路開關
495,mode,模式
496,multi methods,多方法
497,optical switch swm,光開關 swm
498,reset switch,重置開關
499,selection switch swm,選擇開關 swm
0,shallow water model,淺水模型
1,single wire multi,單線多
2,single wire multi switch,單線多路開關
3,single wire multiswitch,單線多路開關
4,solid waste management,固體廢物管理
5,swim suit,泳裝
6,switch again,再次切換
7,switch matrix interface,開關矩陣接口
8,switch network,切換網絡
9,switchless combiner,無開關合路器
10,switchless network,無交換機網絡
11,switchless sensing,無開關感應
12,swm,游泳
13,augmented reality,增強現實
14,bimodal function training,雙峰功能訓練
15,creation,創建
16,creation of home,家的創造
17,device classification training,設備分類訓練
18,device training,設備培訓
19,non natural instruction,非自然指令
20,processor classification training,處理器分類訓練
21,processor training,處理器訓練
22,readable medium,可讀介質
23,reality show,真人秀
24,recognition system,識別系統
25,sample set,樣本集
26,simulator,模擬器
27,synthesis system,合成系統
28,synthetic data,合成數據
29,synthetic fibres,合成纖維
30,synthetic leather,人造皮革
31,synthetic training,綜合訓練
32,synthetic training data,合成訓練數據
33,synthetic training images,合成訓練圖像
34,synthetic vinegar,合成醋
35,training feedback,培訓反饋
36,virtual reality,虛擬現實
37,cake portion,蛋糕部分
38,depth of a tap portion,絲錐部分的深度
39,drain portion,排水部分
40,faucet portion,水龍頭部分
41,portion of tap,水龍頭的一部分
42,rotating portion,旋轉部分
43,screw tap portion,絲錐部分
44,tap,輕敲
45,tap drill,絲錐鑽
46,tap parts,水龍頭零件
47,tap portions,水龍頭部分
48,tapping portion,攻絲部分
49,threaded passage,螺紋通道
50,tree portion,樹部分
51,valve portion,閥部分
52,ankle tap exercise,腳踝敲擊練習
53,faucet tap,水龍頭
54,portion control plate for weight loss,用於減肥的部分控制板
55,screw tap,絲錐
56,scribing apparatus,劃線器
57,shank,小腿
58,shank length,柄長
59,shoulder portion,肩部
60,tap dance exercise,踢踏舞練習
61,tap element,點擊元素
62,tap part,抽頭部分
63,tap piece,水龍頭片
64,tap pitch,分接間距
65,tap portion,水龍頭部分
66,tap root,根
67,thread gauge,螺紋量規
68,thread portion,螺紋部分
69,active area,活動區域
70,body region,身體部位
71,body transistor,體晶體管
72,channel area,通道區
73,channel region,通道區
74,channel regions,通道區域
75,channel transistor,溝道晶體管
76,region,地區
77,well region,井區
78,well regions,井區
79,aim laser,瞄準激光
80,aim pointer,瞄準指針
81,aiming pointer,瞄準指針
82,circular pointer,圓形指針
83,emblaze,閃耀
84,gauge,測量
85,illuminator,照明器
86,java pointer,指針
87,key pointer,關鍵指針
88,laser target pointer,激光目標指示器
89,object pointer,對象指針
90,pointer targets,指針目標
91,pointer variable,指針變量
92,private key,私鑰
93,reference pointer,參考指針
94,return targer,返回目標
95,swingable pointer,擺動指針
96,swingable pointer pivotally,可擺動的指針
97,swingable target pivotally,可擺動的目標
98,swingable target pointer,可擺動的目標指針
99,target ad,目標廣告
100,target illuminator,目標照明器
101,target indicator,目標指標
102,target pivotally,關鍵目標
103,target pointer pivotally,旋轉目標指針
104,target score,目標分數
105,targeting points,目標點
106,user pointer,用戶指針
107,aiming laser,瞄準激光
108,bitmap location,位圖位置
109,buffer pointer,緩衝區指針
110,client pointer,客戶端指針
111,counter pointer,計數器指針
112,current reference position,當前參考位置
113,destination counter,目的地計數器
114,destination pointer,目標指針
115,detarget pointer,去目標指針
116,digital pen,數位筆
117,indicator electrode,指示電極
118,indicator led,指示燈
119,lookup table,查找表
120,queue tail,隊列尾
121,target counter,目標計數器
122,target growth,目標增長
123,target revenue,目標收入
124,target validation,目標驗證
125,targeted arrow,有針對性的箭頭
126,update pointer,更新指針
127,user interface,用戶界面
128,balloon expandable stent,球囊擴張支架
129,blow mold halves,吹塑半模
130,bluetooth connectivity,藍牙連接
131,ethylene terephthalate polyester,對苯二甲酸乙二醇酯聚酯
132,fibers polypropylene,纖維 聚丙烯
133,gas balloon,氣球
134,naphthalate,萘二甲酸酯
135,obsolete petp,過時的petp
136,pete,皮特
137,polyalkylene terephthalate,聚對苯二甲酸亞烷基酯
138,polyester,聚酯纖維
139,polyethylene terephthalate,聚對苯二甲酸
140,polyethylene terephthalate polyester,聚對苯二甲酸乙二醇酯聚酯
141,polypropylene,聚丙烯
142,resin catalyst,樹脂催化劑
143,resins,樹脂
144,stiffeners,加強筋
145,tank liner,罐內襯
146,terephthalate,對苯二甲酸酯
147,terephthalate catalyst,對苯二甲酸酯催化劑
148,terephthalate composition,對苯二甲酸酯組合物
149,terephthalate polyester,對苯二甲酸酯聚酯
150,terephthalate polypropylene,對苯二甲酸酯聚丙烯
151,terephthalate product,對苯二甲酸酯產品
152,tyre vulcanising mould,輪胎硫化模具
153,water blower,吹水機
154,wifi transmission,無線傳輸
155,polyester terephthalate,聚酯對苯二甲酸酯
156,bag industry,箱包行業
157,bio pet,五歲
158,carboxyl,羧基
159,dimethyl terephthalate,對苯二甲酸二甲酯
160,isocyanate,異氰酸酯
161,linear polyester,線性聚酯
162,methyl polyester,甲基聚酯
163,methyl terephthalate,對苯二甲酸甲酯
164,pet,寵物
165,petp,寵物食品
166,polyester family,滌綸系列
167,polygon shape,多邊形形狀
168,polymorphism definition,多態性定義
169,polynomial definition,多項式定義
170,polyoxyethyleneoxyterephthaloyl,聚氧乙烯氧對苯二甲酰
171,rubber industry,橡膠工業
172,shoe industry,鞋業
173,terylene,滌綸
174,textile industry,紡織工業
175,thermoforming for manufacturing,用於製造的熱成型
176,used in fibres,用於纖維
177,phenanthrene,菲
178,28 dihydronaphthacene 28 diylradical,28 二氫並四苯 28 二基自由基
179,acenes,並苯
180,benzbanthracene,苯並蒽
181,biphenyl,聯苯
182,carbon hydrocarbon,碳氫化合物
183,distribution gas,配氣
184,dye lasers,染料激光器
185,fluoran ene,熒烯
186,fluoranthene,熒蒽
187,fluorene,芴
188,four ringed member,四環成員
189,gain medium,增益介質
190,interconnected machines,互聯機器
191,move object,移動對象
192,naphthacene,並四苯
193,pyr ene,芘
194,pyr yl,吡咯
195,rubene,紅寶石
196,series of acenes,系列的並苯
197,terphenyl,三聯苯
198,terrace,陽台
199,tetra pack,利樂包
200,tetrahedron,四面體
201,triphenyl ene,三亞苯基
202,triphenyl yl,三苯基
203,23 benzanthracene,23 苯並蒽
204,aromatic hydrocarbon,芳烴
205,organic semiconductor,有機半導體
206,polycyclic aromatic hydrocarbon,多環芳烴
207,polycyclic hydrocarbon,多環烴
208,pyrene,芘
209,tetanus,破傷風
210,tetracene derivative,並四苯衍生物
211,traction,牽引力
212,triturate,磨碎
213,computer application,計算機應用
214,cookies,餅乾
215,drug application,藥物應用
216,formal application,正式申請
217,infectious diseases,傳染性疾病
218,medicinal application,藥用
219,medicinal applications,醫藥應用
220,ointment application,藥膏應用
221,pharmaceutical applications,製藥應用
222,radiation therapy,放射治療
223,sun radiation,太陽輻射
224,therapeutic action,治療作用
225,therapeutic treatment,治療性治療
226,therapeutic treatments,治療性治療
227,therapeutic use,治療用途
228,treaty,條約
229,aluminum smelters,鋁冶煉廠
230,applicable method,適用方法
231,diagnostic applications,診斷應用
232,diagnostic molecules,診斷分子
233,diagnostic uses,診斷用途
234,diagnostics,診斷
235,fission reactors,裂變反應堆
236,medical commonly,醫療一般
237,oncological indications,腫瘤學適應症
238,pharmaceutical uses,醫藥用途
239,pharmaceutical uses applications,醫藥用途應用
240,physical application,物理應用
241,power plant applications,電廠應用
242,procedure,程序
243,procedures,程序
244,radioisotopes,放射性同位素
245,radiotherapy,放射治療
246,research application,研究應用
247,software applications,軟件應用
248,technique,技術
249,therapeutic agents,治療劑
250,therapeutic application,治療應用
251,therapeutic commonly,治療一般
252,therapeutic dose,治療劑量
253,therapeutic medical applications,治療醫學應用
254,therapy,治療
255,uranium alloys,鈾合金
256,veterinary applications,獸醫應用
257,veterinary uses,獸醫用途
258,veterinary uses applications,獸醫用途應用
259,activation immunotherapy,活化免疫療法
260,allergies,過敏
261,anti immune,抗免疫
262,anti immune therapeutic,抗免疫治療
263,anti therapeutic,抗治療
264,anti therapeutic immune,抗治療免疫
265,biological therapy,生物療法
266,cytokines,細胞因子
267,cytotoxic antibody,細胞毒抗體
268,cytotoxic immune,細胞毒免疫
269,hospital premises,醫院處所
270,immune checkpoint,免疫檢查點
271,immune system modulators,免疫系統調節劑
272,immune therapy,免疫療法
273,immunomodulators,免疫調節劑
274,immunosuppressive therapy,免疫抑制療法
275,immunotherapeutic,免疫治療
276,immunotherapy,免疫療法
277,interleukins,白介素
278,phase modulators,相位調製器
279,protective,保護的
280,protective antibody,保護性抗體
281,protective immune,保護性免疫
282,system maintenance,系統維​​護
283,therapeutic immune therapeutic,治療免疫治療
284,therapeutically immune,治療免疫
285,therapeutically therapeutic,治療性的
286,van,麵包車
287,continuous time digital signal,連續時間數字信號
288,controller digital,控制器數字
289,controller digital signal,控制器數字信號
290,controller signal,控制器信號
291,data stolen,數據被盜
292,digital,數字的
293,digital controller signal,數字控制器信號
294,digital electronics,數碼電子
295,digital signal processor,數字信號處理器
296,digital signal transmission,數字信號傳輸
297,discrete in amplitude,幅度離散
298,discrete in time,時間離散
